211,5,90,GP,MOBILITY AND SECURITY (M&S)
212,6,1,UP,Electronics and Energy - Project
213,6,2,UP,Bio-Medical Devices - Project
214,6,3,UP,Information Technologies and Supply Chain - Project
215,6,4,UP,Mobility and Security - Project
216,6,5,GP,PROJECT
217,6,7,UP,Innov'Action
218,6,8,GP,INNOV'ACTION
219,6,10,UP,Workshop: Analog ST
220,6,11,UP,Workshop: Cryptomonnaies et Blockchain
221,6,12,UP,Workshop: Deep learning for people in a hurry
222,6,13,UP,Workshop: Etude de TLS 1.3
223,6,14,UP,Workshop: Le design au service de la conception des services numeriques
224,6,15,UP,Workshop: Tools for dectection and treatment of cancer
225,6,16,GP,WORKSHOP
226,6,18,UP,End of Program Internship
227,6,19,GP,END OF PROGRAM INTERNSHIP
